module,booted_from_elysia,booted_from_orchestrator,api_on_demand_only,currently_unwired
project_guardian/__init__.py,1,1,0,0
project_guardian/__main__.py,0,1,0,0
project_guardian/adapters.py,1,1,0,0
project_guardian/adversarial_self_learning.py,1,1,0,0
project_guardian/ai_mutation_validator.py,0,1,0,0
project_guardian/ai_tool_registry_engine.py,1,1,0,0
project_guardian/analysis_engine.py,1,1,0,0
project_guardian/api.py,1,1,0,0
project_guardian/api_key_manager.py,1,1,0,0
project_guardian/api_server.py,0,0,1,0
project_guardian/approval_store.py,1,1,0,0
project_guardian/ask_ai.py,1,1,0,0
project_guardian/asset_manager.py,0,1,0,0
project_guardian/auto_learning.py,1,1,0,0
project_guardian/auto_module_creator.py,0,1,0,0
project_guardian/autonomy_antiloop.py,1,1,0,0
project_guardian/base_module_adapter.py,0,1,0,0
project_guardian/bounded_browser/__init__.py,0,0,0,0
project_guardian/bounded_browser/agent.py,1,1,0,0
project_guardian/bounded_browser/allowlist.py,1,1,0,0
project_guardian/bounded_browser/backends.py,1,1,0,0
project_guardian/bounded_browser/capability.py,1,1,0,0
project_guardian/bounded_browser/evaluate.py,1,1,0,0
project_guardian/bounded_browser/memory_store.py,1,1,0,0
project_guardian/bounded_browser/moltbook.py,1,1,0,0
project_guardian/bounded_browser/schema.py,1,1,0,0
project_guardian/capabilities.py,1,1,0,0
project_guardian/capability_execution.py,1,1,0,0
project_guardian/capability_registry.py,1,1,0,0
project_guardian/chatgpt_export_import.py,0,1,0,0
project_guardian/cloud_api_state.py,1,1,0,0
project_guardian/config_validator.py,1,1,0,0
project_guardian/consensus.py,1,1,0,0
project_guardian/context_pipeline/__init__.py,0,0,0,0
project_guardian/context_pipeline/archive_manager.py,1,1,0,0
project_guardian/context_pipeline/embedding_backend.py,1,1,0,0
project_guardian/context_pipeline/ingestion_normalizer.py,1,1,0,0
project_guardian/context_pipeline/memory_sidecar.py,1,1,0,0
project_guardian/context_pipeline/models.py,1,1,0,0
project_guardian/context_pipeline/prompt_packet_builder.py,1,1,0,0
project_guardian/context_pipeline/relevance_engine.py,1,1,0,0
project_guardian/context_pipeline/retrieval.py,1,1,0,0
project_guardian/context_pipeline/runner.py,1,1,0,0
project_guardian/context_pipeline/schemas.py,1,1,0,0
project_guardian/context_pipeline/structured_response_validator.py,1,1,0,0
project_guardian/conversation_context_manager.py,0,1,0,0
project_guardian/core.py,1,1,0,0
project_guardian/core_credits.py,0,1,0,0
project_guardian/creativity.py,1,1,0,0
project_guardian/credit_spend_log.py,0,1,0,0
